"ano","id_municipio","bioma","area_total","desmatado","populacao","bovinos","area_colhida_total","pib","precipitacao_media_anual","temperatura_media_anual","pib_per_capita"
2004,1100015,"Amazônia",7074.54823,2079.8,29001,356520,7658,173991000,5.09,25.36,5999.48277645598
2005,1100015,"Amazônia",7074.54823,2161.8,28629,364298,8037,167127000,3.66,25,5837.68207062768
2006,1100015,"Amazônia",7074.54823,2183.3,29005,346379,7972,168805000,5.7,24.88,5819.8586450612
2007,1100015,"Amazônia",7074.54823,2198.9,23857,352496,7970,191364000,3.99,24.99,8021.29354067988
2008,1100015,"Amazônia",7074.54823,2225.2,24577,356190,8013,248962000,3.96,25.03,10129.8775277699
2009,1100015,"Amazônia",7074.54823,2230.2,24354,355942,8002,256986000,3.88,24.71,10552.1064301552
2010,1100015,"Amazônia",7074.54823,2232,24392,364184,8109,262077000,3.95,25.35,10744.3834043949
2011,1100015,"Amazônia",7074.54823,2238.8,24228,365538,8522,280510000,2.96,25.21,11577.9263661879
2012,1100015,"Amazônia",7074.54823,2244.1,24069,372731,16678,329029000,3.42,25.12,13670.2397274502
2013,1100015,"Amazônia",7074.54823,2250.8,25728,386456,15881,341325000,5.01,24.57,13266.6744402985
2014,1100015,"Amazônia",7074.54823,2261.1,25652,391388,15900,377799000,4.63,24.91,14727.8574769998
2015,1100015,"Amazônia",7074.54823,2266.2,25578,407890,16257,421300000,2.48,25.5,16471.1861756197
2016,1100015,"Amazônia",7074.54823,2281.8,25506,403973,16283,478217000,4.11,25.2,18749.1962675449
2017,1100015,"Amazônia",7074.54823,2301.1,25437,408765,13823,485374000,4.55,25.1,19081.4168337461
2018,1100015,"Amazônia",7074.54823,2314.9,23167,421964,12248,498980000,4.08,24.51,21538.3951310053
2019,1100015,"Amazônia",7074.54823,2344.9,22945,428976,12348,495775000,4.49,23.5,21607.1039442144
2020,1100015,"Amazônia",7074.54823,2370.3,22728,460450,12339,570242000,NA,NA,25089.845124956
2021,1100015,"Amazônia",7074.54823,2395.2,22516,473192,12730,734469000,NA,NA,32619.8703144431
2022,1100015,"Amazônia",7074.54823,2419.4,21558,549541,12595,NA,NA,NA,NA
2023,1100015,"Amazônia",7074.54823,2434.1,NA,NA,NA,NA,NA,NA,NA
2004,1100023,"Amazônia",4390.90053,2961.8,86901,438748,12899,657193000,4.5,25.55,7562.54818701741
2005,1100023,"Amazônia",4390.90053,3046.2,85031,452222,11932,749021000,4.11,25.44,8808.79914384166
2006,1100023,"Amazônia",4390.90053,3062.8,86924,457625,10135,790697000,6.78,25.08,9096.4175601675
2007,1100023,"Amazônia",4390.90053,3094,82388,427585,10135,905203000,3.95,25.06,10987.0733601981
2008,1100023,"Amazônia",4390.90053,3102.3,84581,423750,10628,1064822000,5.27,25.2,12589.3758645559
2009,1100023,"Amazônia",4390.90053,3110.9,85541,440053,10848,1133095000,5.44,25.11,13246.2211103447
2010,1100023,"Amazônia",4390.90053,3115,90353,439355,10692,1364694000,3.35,25.64,15104.0253229002
2011,1100023,"Amazônia",4390.90053,3118.7,91570,446471,10836,1651885000,3.88,25.52,18039.5872010484
2012,1100023,"Amazônia",4390.90053,3125.8,92747,442851,15231,1703642000,4.19,25.63,18368.7019526238
2013,1100023,"Amazônia",4390.90053,3138.2,101269,427419,7066,1799853000,4.87,25.07,17772.9907474153
2014,1100023,"Amazônia",4390.90053,3148.6,102860,431871,2948,1921532000,3.73,25.08,18681.0421932724
2015,1100023,"Amazônia",4390.90053,3158.8,104401,455731,2867,2037799000,2.66,25.74,19518.9605463549
2016,1100023,"Amazônia",4390.90053,3190.2,105896,449108,2492,2184346000,4.44,25.69,20627.2758177835
2017,1100023,"Amazônia",4390.90053,3210.9,107345,477322,2368,2287910000,4.19,25.56,21313.6149797382
2018,1100023,"Amazônia",4390.90053,3227.7,106168,491414,2175,2464704000,4,24.93,23215.1307361917
2019,1100023,"Amazônia",4390.90053,3246.2,107863,477665,1688,2579278000,4.22,24.86,23912.5371999666
2020,1100023,"Amazônia",4390.90053,3268.6,109523,499067,1753,2817331000,NA,NA,25723.6470878263
2021,1100023,"Amazônia",4390.90053,3283.5,111148,509210,874,3209761000,NA,NA,28878.2614172095
2022,1100023,"Amazônia",4390.90053,3295.3,100896,589542,839,NA,NA,NA,NA
2023,1100023,"Amazônia",4390.90053,3308.6,NA,NA,NA,NA,NA,NA,NA
2004,1100031,"Amazônia",1308.65535,933.4,7421,126470,643,43392000,4.46,25.05,5847.19040560571
2005,1100031,"Amazônia",1308.65535,950.4,7436,124938,473,49130000,5.15,24.12,6607.04679935449
2006,1100031,"Amazônia",1308.65535,951,7421,127163,225,46884000,5,24.11,6317.74693437542
